Model=ballHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.00, middleScoreOddOfDefeat=0.82, middleBigOddOfVictory=0.85, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.57
Model=oddHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.00, middleScoreOddOfDefeat=0.82, middleBigOddOfVictory=0.85, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.60
Model=ballHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=0.98, middleScoreOddOfDefeat=0.86, middleBigOddOfVictory=0.91, middleBigOddOfDefeat=0.91, estValue=0, estProb=0.65
Model=oddHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=0.98, middleScoreOddOfDefeat=0.86, middleBigOddOfVictory=0.91, middleBigOddOfDefeat=0.91, estValue=0, estProb=0.71
Model=ballHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=1.04, middleScoreOddOfDefeat=0.80, middleBigOddOfVictory=0.91, middleBigOddOfDefeat=0.91, estValue=0, estProb=0.65
Model=oddHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=1.04, middleScoreOddOfDefeat=0.80, middleBigOddOfVictory=0.91, middleBigOddOfDefeat=0.91, estValue=0, estProb=0.72
Model=ballHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=1.04, middleScoreOddOfDefeat=0.80, middleBigOddOfVictory=0.90, middleBigOddOfDefeat=0.92, estValue=0, estProb=0.65
Model=ballHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.00, middleScoreOddOfDefeat=0.82, middleBigOddOfVictory=0.82, middleBigOddOfDefeat=0.98, estValue=0, estProb=0.57
Model=oddHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=1.04, middleScoreOddOfDefeat=0.80, middleBigOddOfVictory=0.90, middleBigOddOfDefeat=0.92, estValue=0, estProb=0.72
Model=oddHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.00, middleScoreOddOfDefeat=0.82, middleBigOddOfVictory=0.82, middleBigOddOfDefeat=0.98, estValue=0, estProb=0.60
